2011,2012,2013,2014,2015,2016,station,lines,controlled,lat,long
4169699,4104847,4427399,4536888,4424754,4381900,149 St-Grand    Concourse,2 4 5,149St-GrandConcourse,40.818375,-73.927351
8605893,8831015,8766012,8961029,8922188,8784407,161 St-Yankee    Stadium,B D 4,161St-YankeeStadium,40.827905,-73.925651
2978748,3039634,3081534,3067345,3180274,3179087,167 St,4,167St,40.833771,-73.91844
2952368,2972535,3091289,3245977,3295032,3365748,167 St,B D,167St,40.833771,-73.91844
2954573,2980786,2961575,2941958,3045205,3038777,170 St,4,170St,40.839306,-73.9134
1988409,2032837,2174082,2297459,2286670,2317558,170 St,B D,170St,40.839306,-73.9134
2161875,2152009,2301756,2374812,2313651,2411413,174 St,2 5,174St,40.837288,-73.887734
1492092,1496869,1598189,1719504,1695879,1752387,174-175 Sts,B D,174-175Sts,40.8459,-73.910136
1720629,1764100,1837995,1848854,1969221,2036529,176 St,4,176St,40.84848,-73.911794
1489026,1447028,1520856,1604218,1643266,1682092,182-183 Sts,B D,182-183Sts,40.856093,-73.900741
1978737,1997038,2002633,2007140,2057944,2071316,183 St,4,183St,40.858407,-73.903879
1032343,1063058,1099491,1124522,1108859,1049128,219 St,2 5,219St,40.883895,-73.862633
1336790,1382626,1400377,1445591,1439495,1365544,225 St,2 5,225St,40.888022,-73.860341
2731068,2829503,2757855,2912283,2966015,3013521,231 St,1,231St,40.878856,-73.904834
1655372,1674406,1719181,1803693,1762923,1688487,233 St,2 5,233St,40.893193,-73.857473
902601,1106353,1092492,1209623,1240616,1327862,238 St,1,238St,40.884667,-73.90087
2280268,2304717,2443326,2534036,2531974,2509085,3 Av-138 St,6,3Av-138St,40.810476,-73.926138
7232070,7525904,7310115,7763151,7363663,7609968,3 Av-149 St,2 5,3Av-149St,40.816109,-73.917757
1602390,1689145,1747352,1829712,1821628,1733740,Allerton Av,2 5,AllertonAv,40.865462,-73.867352
1106959,1161075,1234050,1186372,1137693,1112259,Baychester Av,5,BaychesterAv,40.878663,-73.838591
1914096,1929623,2040887,2136860,2196065,2240256,Bedford Park    Blvd,B D,BedfordParkBlvd,40.873244,-73.887138
1835965,1796392,1853706,1827260,1863892,1812036,Bedford Park    Blvd-Lehman College,4,BedfordParkBlvd-LehmanCollege,40.873412,-73.890064
826356,860554,914831,933109,877311,841547,Bronx Park    East,2 5,BronxParkEast,40.848828,-73.868457
1950893,1901192,1970010,2002825,1981721,1964831,Brook Av,6,BrookAv,40.807566,-73.91924
991171,1008640,1111659,637600,661527,1048776,Buhre Av,6,BuhreAv,40.84681,-73.832569
1036169,1086792,1133298,1158787,1139826,1099582,Burke Av,2 5,BurkeAv,40.871356,-73.867164
3528312,3508076,3560191,3558297,3641720,3617308,Burnside Av,4,BurnsideAv,40.853453,-73.907684
2341370,2327404,1756879,1491030,2174412,2100194,Castle Hill    Av,6,CastleHillAv,40.834255,-73.851222
