station,lines,2011,2012,2013,2014,2015,2016
149 St-Grand    Concourse,2 4 5,4169699,4104847,4427399,4536888,4424754,4381900
161 St-Yankee    Stadium,B D 4,8605893,8831015,8766012,8961029,8922188,8784407
167 St,4,2978748,3039634,3081534,3067345,3180274,3179087
167 St,B D,2952368,2972535,3091289,3245977,3295032,3365748
170 St,4,2954573,2980786,2961575,2941958,3045205,3038777
170 St,B D,1988409,2032837,2174082,2297459,2286670,2317558
174 St,2 5,2161875,2152009,2301756,2374812,2313651,2411413
174-175 Sts,B D,1492092,1496869,1598189,1719504,1695879,1752387
176 St,4,1720629,1764100,1837995,1848854,1969221,2036529
182-183 Sts,B D,1489026,1447028,1520856,1604218,1643266,1682092
183 St,4,1978737,1997038,2002633,2007140,2057944,2071316
219 St,2 5,1032343,1063058,1099491,1124522,1108859,1049128
225 St,2 5,1336790,1382626,1400377,1445591,1439495,1365544
231 St,1,2731068,2829503,2757855,2912283,2966015,3013521
233 St,2 5,1655372,1674406,1719181,1803693,1762923,1688487
238 St,1,902601,1106353,1092492,1209623,1240616,1327862
3 Av-138 St,6,2280268,2304717,2443326,2534036,2531974,2509085
3 Av-149 St,2 5,7232070,7525904,7310115,7763151,7363663,7609968
Allerton Av,2 5,1602390,1689145,1747352,1829712,1821628,1733740
Baychester Av,5,1106959,1161075,1234050,1186372,1137693,1112259
Bedford Park    Blvd,B D,1914096,1929623,2040887,2136860,2196065,2240256
Bedford Park    Blvd-Lehman College,4,1835965,1796392,1853706,1827260,1863892,1812036
Bronx Park    East,2 5,826356,860554,914831,933109,877311,841547
Brook Av,6,1950893,1901192,1970010,2002825,1981721,1964831
Buhre Av,6,991171,1008640,1111659,637600,661527,1048776
Burke Av,2 5,1036169,1086792,1133298,1158787,1139826,1099582
Burnside Av,4,3528312,3508076,3560191,3558297,3641720,3617308
Castle Hill    Av,6,2341370,2327404,1756879,1491030,2174412,2100194
Cypress Av,6,1142381,1097947,1186696,1226878,1228311,1265930
East 143    St-St Mary's St,6,280840,285464,273895,279012,298462,313386
East 149 St,6,1383455,1403118,1457795,1460311,1479241,1518946
East 180 St,2 5,2164608,2098429,2152570,2445421,2368031,2518622
Eastchester-Dyre    Av,5,1309695,1366077,1441375,1380334,1330123,1293411
Elder Av,6,721362,1936349,2041453,2084044,2080228,2117178
Fordham Rd,4,3966339,3947625,3946955,3857749,3892140,3858183
Fordham Rd,B D,3680312,3655007,3876601,4028205,3905346,3890986
Freeman St,2 5,1348014,1393186,1486965,1517066,1492757,1588448
Gun Hill Rd,2 5,2176939,2235325,2304780,2477798,2449555,2473814
Gun Hill Rd,5,1683011,1757377,1792707,1716952,1639924,1619073
Hunts Point    Av,6,3191706,3204779,3158343,3138131,3305563,3269585
Intervale Av,2 5,902216,937280,1048501,1095221,1039265,1061240
Jackson Av,2 5,1573302,1520612,1686061,1753555,1731638,1802193
Kingsbridge    Rd,4,3169615,3173688,3198725,3149605,3171646,3126119
Kingsbridge    Rd,B D,2275576,2255556,2390749,2562374,2530782,2566076
Longwood Av,6,1067960,1065764,1087990,1098022,1088970,1081519
Middletown Rd,6,559746,566771,441950,661242,795762,598447
Morris Park,5,554320,589170,631930,621945,629282,677899
Morrison    Av-Soundview,6,3028145,2057570,2096942,2125383,2097203,2135920
Mosholu Pkwy,4,2961522,2906150,2917501,2886764,2891451,2836370
Mt Eden Av,4,1814951,1818870,1848483,1824861,1844131,1824478
Nereid Av,2 5,1025004,1086227,1195804,1183733,1162973,1131328
Norwood-205    St,D,2472094,2463462,2569581,2709761,2750124,2805984
Parkchester,6,4851182,4687402,5215409,5586943,5224959,5201901
Pelham Bay    Park,6,2062525,2030215,2096130,2318533,2337689,2208725
Pelham Pkwy,2 5,2701431,2882651,3028494,3084862,3066190,2955589
Pelham Pkwy,5,897433,923188,919689,907735,894727,897374
